bin,count,mean_probability,positive_fraction
0,43,0,0
1,5,0.142857,0.2
2,3,0.285714,0.333333
4,2,0.428571,0
5,1,0.571429,1
7,6,0.714286,1
8,2,0.857143,1
9,19,1,1
