feature_i,feature_j,pearson
0,0,1
0,1,0.98059
0,2,0.374026
0,3,0.26423
1,0,0.98059
1,1,1
1,2,0.299143
1,3,0.23659
2,0,0.374026
2,1,0.299143
2,2,1
2,3,0.27476
3,0,0.26423
3,1,0.23659
3,2,0.27476
3,3,1
