lambda,intercept,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,nonzero,r2_train,r2_test
0.1,-331.616801,0.05424727727,-20.49428136,6.330121269,1.134882463,-0.8161398419,0.5877249936,0.1051926494,0.872082062,64.11686525,0.2061229501,10,0.5355525117,0.4161695084
0.3,-307.0291893,0.05380898441,-19.4738382,6.375268418,1.134162039,-0.5780622502,0.3785527903,-0.1720646939,0,57.36592107,0.2121062452,9,0.5349730731,0.4143202064
1,-246.3600482,0.05394598632,-16.32572597,6.519329895,1.141791381,0.02588446994,-0.1917742954,-0.758776088,0,37.87407335,0.2260845296,9,0.5303665823,0.4115164093
3,-132.4541321,0.03969218231,-6.943246748,6.806585235,1.137953864,1.218386881,-1.320544892,-1.866056976,0,0,0.2373606302,8,0.5053232256,0.3950092683
10,-136.6408175,0,0,6.53783671,1.130648918,1.154376964,-1.237753824,-1.716846381,0,0,0.2225925597,6,0.4954523639,0.3876236547
30,-118.66864,0,0,5.490477446,1.22039065,0.9002851008,-0.9185751288,-1.524962218,0,0,0.2527287369,6,0.4841650973,0.3858840774
100,-51.31570659,0,0,1.785103104,1.509359425,0.1785357627,0,-0.9830123453,0,0,0.3216694801,5,0.3681079516,0.3024447489
300,37.56005756,0,0,0,1.039651824,0.1277145449,0,-0.147684831,0,0,0,3,0.1777143317,0.09905611397
1000,153.0594901,0,0,0,0,0,0,0,0,0,0,0,0,-0.003749109037
