bin,count,mean_probability,observed_fraction
0,782,0.0553311,0.00383632
1,122,0.130042,0.0409836
2,12,0.254475,0.583333
3,21,0.365654,0.857143
4,20,0.451091,1
5,26,0.556605,1
6,23,0.644991,1
7,19,0.749377,1
8,9,0.845182,1
9,1,0.910113,1
