epoch,train_log_loss
10,0.369147
20,0.359461
30,0.350555
40,0.342113
50,0.334112
60,0.326535
70,0.319363
80,0.312576
90,0.306156
100,0.300085
110,0.294343
120,0.288914
130,0.283779
140,0.278924
150,0.274331
160,0.269985
170,0.265873
180,0.261981
190,0.258295
200,0.254803
