rank,term,weight
1,"i",-1.64972
2,"call",1.60143
3,"free",1.27003
4,"to",1.07111
5,"txt",0.986543
6,"your",0.904102
7,"mobile",0.876812
8,"stop",0.847445
9,"claim",0.845919
10,"2",0.78087
11,"text",0.764361
12,"reply",0.756236
13,"prize",0.755773
14,"1",0.730613
15,"www",0.730036
16,"from",0.67471
17,"me",-0.673016
18,"or",0.657386
19,"my",-0.633127
20,"a",0.597253
