bin,count,mean_probability,positive_fraction
0,41,0.0160366,0
1,8,0.146771,0.125
2,1,0.208333,0
4,2,0.428125,0.5
5,1,0.5625,1
6,3,0.641667,0.666667
7,2,0.778125,1
8,3,0.876389,1
9,20,0.979167,1
