iteration,weight,loss
0,0.60000000000000009,6.1200000000000001
1,0.96000000000000008,5.0831999999999997
2,1.1760000000000002,4.7099519999999995
3,1.3056000000000001,4.5755827199999999
4,1.3833600000000001,4.5272097791999997
5,1.4300160000000002,4.5097955205120002
6,1.4580096,4.5035263873843201
7,1.47480576,4.5012694994583544
8,1.4848834559999999,4.5004570198050082
9,1.4909300736,4.5001645271298027
10,1.4945580441599999,4.5000592297667286
11,1.4967348264959999,4.5000213227160231
12,1.4980408958975999,4.5000076761777681
13,1.49882453753856,4.5000027634239963
14,1.4992947225231361,4.5000009948326394
15,1.4995768335138817,4.5000003581397499
16,1.499746100108329,4.50000012893031
17,1.4998476600649975,4.500000046414911
18,1.4999085960389984,4.5000000167093681
19,1.4999451576233991,4.5000000060153722
20,1.4999670945740395,4.5000000021655344
21,1.4999802567444238,4.5000000007795924
22,1.4999881540466542,4.5000000002806528
23,1.4999928924279926,4.5000000001010347
24,1.4999957354567957,4.5000000000363727
25,1.4999974412740773,4.5000000000130944
26,1.4999984647644464,4.5000000000047145
27,1.4999990788586679,4.5000000000016973
28,1.4999994473152007,4.5000000000006111
29,1.4999996683891204,4.5000000000002203
30,1.4999998010334723,4.500000000000079
31,1.4999998806200834,4.5000000000000284
32,1.49999992837205,4.5000000000000107
33,1.4999999570232301,4.5000000000000036
34,1.499999974213938,4.5000000000000018
35,1.4999999845283629,4.5
36,1.4999999907170178,4.5
37,1.4999999944302107,4.5
38,1.4999999966581263,4.5
39,1.4999999979948757,4.5
40,1.4999999987969255,4.5
41,1.4999999992781552,4.5
42,1.4999999995668931,4.5
43,1.4999999997401359,4.5
44,1.4999999998440816,4.5
45,1.4999999999064491,4.5
46,1.4999999999438693,4.5
47,1.4999999999663216,4.5
48,1.4999999999797931,4.5
49,1.4999999999878759,4.5
50,1.4999999999927256,4.5
51,1.4999999999956353,4.5
52,1.4999999999973812,4.5
53,1.4999999999984288,4.5
54,1.4999999999990572,4.5
55,1.4999999999994342,4.5
56,1.4999999999996605,4.5
57,1.4999999999997964,4.5
58,1.4999999999998779,4.5
59,1.4999999999999267,4.5
60,1.499999999999956,4.5
61,1.4999999999999736,4.5
62,1.4999999999999842,4.5
63,1.4999999999999905,4.5
64,1.4999999999999942,4.5
65,1.4999999999999964,4.5
66,1.4999999999999978,4.5
67,1.4999999999999987,4.5
68,1.4999999999999991,4.5
69,1.4999999999999996,4.5
70,1.4999999999999998,4.5
71,1.4999999999999998,4.5
72,1.4999999999999998,4.5
73,1.4999999999999998,4.5
74,1.4999999999999998,4.5
75,1.4999999999999998,4.5
76,1.4999999999999998,4.5
77,1.4999999999999998,4.5
78,1.4999999999999998,4.5
79,1.4999999999999998,4.5
80,1.4999999999999998,4.5
81,1.4999999999999998,4.5
82,1.4999999999999998,4.5
83,1.4999999999999998,4.5
84,1.4999999999999998,4.5
85,1.4999999999999998,4.5
86,1.4999999999999998,4.5
87,1.4999999999999998,4.5
88,1.4999999999999998,4.5
89,1.4999999999999998,4.5
90,1.4999999999999998,4.5
91,1.4999999999999998,4.5
92,1.4999999999999998,4.5
93,1.4999999999999998,4.5
94,1.4999999999999998,4.5
95,1.4999999999999998,4.5
96,1.4999999999999998,4.5
97,1.4999999999999998,4.5
98,1.4999999999999998,4.5
99,1.4999999999999998,4.5
