eps,min_samples,n_clusters,n_noise
0.29999999999999999,3,2,28
0.29999999999999999,5,2,37
0.29999999999999999,10,2,47
0.59999999999999998,3,2,17
0.59999999999999998,5,2,17
0.59999999999999998,10,2,20
1,3,3,14
1,5,2,17
1,10,2,17
1.5,3,4,9
1.5,5,2,16
1.5,10,2,16
