length_scale,log_marginal_likelihood
0.1,-17.65380583
0.2,-17.0322658
0.3,-15.19466468
0.5,-9.912485178
0.7,-5.886869785
1,-2.433704676
1.5,-0.1759254126
2,-0.4380543103
3,-12.97841213
5,-51.03970262
10,-66.75276106
