bin,count,mean_probability,positive_fraction
0,71,0.00261722,0.028169
2,1,0.297615,1
3,1,0.341748,1
4,1,0.462986,0
5,2,0.509702,1
6,1,0.685666,1
8,2,0.8732,1
9,36,0.991728,0.944444
