bin,count,mean_probability,observed_fraction
0,159,0.0417828,0
1,18,0.141385,0.0555556
2,4,0.246731,0.5
3,5,0.34589,0.8
4,2,0.463352,1
5,6,0.543596,1
6,5,0.668212,1
7,1,0.729223,1
8,1,0.800673,1
