bin,count,mean_probability,positive_fraction
0,64,0.0096875,0.03125
1,2,0.136667,0
2,3,0.252222,0
3,3,0.334444,0.666667
4,2,0.43,1
5,4,0.551667,0.5
6,3,0.625556,0.666667
7,1,0.753333,1
8,6,0.843333,0.833333
9,27,0.985185,1
