bin,count,mean_probability,positive_fraction
0,63,0.0235634,0.031746
1,4,0.142645,0
2,3,0.243263,0.666667
3,3,0.339617,0
4,2,0.446116,0.5
5,4,0.564248,1
6,2,0.654646,0.5
7,6,0.764902,0.833333
8,3,0.851439,1
9,25,0.972667,1
