bin,count,mean_probability,positive_fraction
0,48,0.0129948,0
1,1,0.109539,0
2,2,0.254944,0.5
4,1,0.456339,0
5,1,0.566679,1
6,1,0.653283,1
7,2,0.783864,1
9,25,0.986171,1
