bin,count,mean_probability,positive_fraction
0,45,0.00733333,0.0222222
1,4,0.1415,0
2,2,0.256667,0.5
3,1,0.38,0
5,1,0.546667,1
6,2,0.670833,1
7,2,0.741667,1
8,2,0.858333,0.5
9,22,0.995227,1
