fold,max_depth,min_leaf,inner_score,outer_score
0,4,2,0.984045584,0.9492063492
1,4,1,0.9829545455,0.9847777201
2,4,5,0.983885397,1
nested_mean,,,0.9779946898,0.02128388852
naive,4,1,0.9835590411,
