evaluation,max_depth,min_leaf,mean_score,std_score,best_so_far
1,4,2,0.9840416867,0.02151390886,0.9840416867
2,4,1,0.9788442854,0.02012502619,0.9840416867
3,8,5,0.9840416867,0.02151390886,0.9840416867
4,16,1,0.9840416867,0.02151390886,0.9840416867
5,16,5,0.9840416867,0.02151390886,0.9840416867
