bin,count,mean_probability,observed_fraction
0,887,0.0020666,0.00676437
1,10,0.137561,0
2,6,0.257665,0
3,3,0.327556,0
4,1,0.449623,1
6,1,0.641398,0
7,1,0.776902,0
8,2,0.852001,0.5
9,124,0.998771,0.991935
