bin,count,mean_probability,observed_fraction
0,170,0.0210301,0.00588235
1,9,0.131516,0
2,1,0.279648,1
3,4,0.332105,1
4,3,0.476508,0.666667
5,2,0.569786,1
6,1,0.630567,1
7,3,0.737934,1
8,4,0.825778,1
9,4,0.944678,1
