bin,count,mean_probability,positive_fraction
0,51,0.00530746,0.0196078
1,1,0.106556,0
2,1,0.218147,1
3,1,0.308262,1
5,1,0.545774,1
6,3,0.63969,1
7,1,0.754924,1
9,22,0.99435,1
