k,popularity_precision,popularity_recall,itemcf_precision,itemcf_recall
1,0.324138,0.00907657,0.12069,0.00196239
2,0.289655,0.0233223,0.0896552,0.00330609
3,0.288506,0.032768,0.117241,0.00584382
5,0.258621,0.0531449,0.117931,0.0105161
10,0.229655,0.0852896,0.168276,0.039477
20,0.200345,0.140192,0.152586,0.0654598
50,0.155724,0.240901,0.130276,0.139338
