bin,count,mean_probability,positive_fraction
0,76,0.00505746,0.0526316
1,1,0.174984,1
2,1,0.289537,1
4,1,0.407233,1
5,1,0.582027,1
6,1,0.695819,1
8,2,0.8348,1
9,32,0.985262,1
