class,row,col,value
0,0,0,0.1741451612
0,0,1,-0.02178793087
0,1,0,-0.02178793087
0,1,1,0.7351368245
1,0,0,0.5614605717
1,0,1,-0.01383974524
1,1,0,-0.01383974524
1,1,1,0.151120074
2,0,0,0.3261173575
2,0,1,0.0004565255942
2,1,0,0.0004565255942
2,1,1,0.2591159625
