lambda,"radius_mean","texture_mean","perimeter_mean","area_mean","smoothness_mean","compactness_mean","concavity_mean","concave_points_mean","symmetry_mean","fractal_dimension_mean","radius_se","texture_se","perimeter_se","area_se","smoothness_se","compactness_se","concavity_se","concave_points_se","symmetry_se","fractal_dimension_se","radius_worst","texture_worst","perimeter_worst","area_worst","smoothness_worst","compactness_worst","concavity_worst","concave_points_worst","symmetry_worst","fractal_dimension_worst"
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1000835955,0,0,0,0,0.1052257684,0,0
0.1,0,0,0,0,0,0,0,0.01391560085,0,0,0,0,0,0,0,0,0,0,0,0,0.143076095,0.003281601101,0,0,0,0,0,0.1614959473,0,0
0.05,0,0,0,0,0,0,0,0.04100905011,0,0,0.002735132413,0,0,0,0,0,0,0,0,0,0.1579679707,0.04015506247,0,0,0,0,0,0.1555158083,0.0136418703,0
0.02,0,0.01496710996,0,0,0,0,0,0.0306601502,0,0,0.02457138649,0,0,0,0.00104952567,0,0,0,0,0,0.1797374533,0.04398311825,0,0,0.0234712153,0,0.009625267477,0.1299934587,0.03507504992,0
0.01,0,0.0211601227,0,0,0,0,0,0.0215267075,0,-0.009046099655,0.02832653339,0,0,0,0.01927506434,0,-0.007831934986,0,0,0,0.186120715,0.0422166787,0,0,0.02385905618,0,0.02509596565,0.1286209059,0.04551718752,0
0.005,0,0.02669234835,0,0,0,0,0,0.04228367049,0,-0.04764150963,0.03979589225,0.001355811822,0,-0.00240572125,0.03690650553,-0.01899156602,-0.03005004343,0.01570531617,0,0,0.1650015273,0.0353272271,0,0,0.0162481987,0,0.05073511623,0.10534014,0.05251060915,0.03822764781
0.002,0,0.02637490914,0,0,0,-0.08553789637,0.08458090652,0.02932988892,0,-0.0322861026,0.0902667651,0.002807935098,0,-0.05449153337,0.04671170284,-0.01350144889,-0.08168703975,0.03719392087,0.002692412969,0,0.4094471235,0.03202484807,0,-0.2182664253,0.01768296077,0,0.06413599862,0.07250059342,0.05374475112,0.06253159441
0.001,0,0.02582602382,0,-0.008996281587,0.001397009099,-0.1385449943,0.1386258462,0.01724034872,0,-0.01556686762,0.09586756059,0.002532028989,-0.0008787310449,-0.05959703011,0.0505814249,-0.01438351306,-0.1020315772,0.04739196951,0.007567976127,0,0.5523575853,0.03146682058,0,-0.3376788651,0.01820501576,0.02193774894,0.05423918749,0.05734675168,0.05027867441,0.06390490346
