epoch,train_rmse
1,0.958564
2,0.936607
3,0.926558
4,0.920563
5,0.915942
6,0.912048
7,0.908322
8,0.904545
9,0.90019
10,0.895111
11,0.889438
12,0.882997
13,0.876028
14,0.868572
15,0.861009
16,0.85353
17,0.846277
18,0.839127
19,0.832333
20,0.82572
