bin,count,mean_probability,positive_fraction
0,66,0.0105072,0.030303
1,4,0.11485,0
2,3,0.259938,0
4,4,0.442539,0.75
5,3,0.534502,1
6,1,0.669104,1
7,1,0.771585,1
8,1,0.857665,1
9,32,0.98402,1
