bin,count,mean_probability,positive_fraction
0,70,0.00775969,0.0285714
1,2,0.139788,0.5
2,1,0.272376,1
3,1,0.325229,1
4,1,0.404371,1
5,1,0.594284,0
6,3,0.649014,0.666667
7,1,0.757184,1
9,35,0.985508,0.971429
