bin,count,mean_probability,observed_fraction
0,881,0.013067,0.00681044
1,23,0.146155,0.0434783
2,6,0.25533,0.5
3,4,0.364128,0.5
4,5,0.438541,0.6
5,3,0.558205,1
6,7,0.663095,1
7,12,0.759029,1
8,12,0.872197,1
9,82,0.985252,1
